,Value,Date,State
0,44.1,2020/12/21,AK
1,44.0,2020/12/21,AL
2,43.0,2020/12/21,AR
3,43.5,2020/12/21,AZ
4,45.0,2020/12/21,CA
5,44.6,2020/12/21,CO
6,40.8,2020/12/21,CT
7,39.9,2020/12/21,DE
8,41.5,2020/12/21,FL
9,45.7,2020/12/21,GA
10,37.6,2020/12/21,HI
11,39.5,2020/12/21,IA
12,43.7,2020/12/21,ID
13,39.5,2020/12/21,IL
14,40.8,2020/12/21,IN
15,41.5,2020/12/21,KS
16,43.9,2020/12/21,KY
17,50.0,2020/12/21,LA
18,42.8,2020/12/21,MA
19,39.7,2020/12/21,MD
20,37.7,2020/12/21,ME
21,45.6,2020/12/21,MI
22,36.6,2020/12/21,MN
23,40.3,2020/12/21,MO
24,45.9,2020/12/21,MS
25,40.7,2020/12/21,MT
26,37.0,2020/12/21,NC
27,34.1,2020/12/21,ND
28,36.4,2020/12/21,NE
29,39.5,2020/12/21,NH
30,41.4,2020/12/21,NJ
31,47.7,2020/12/21,NM
32,46.1,2020/12/21,NV
33,40.7,2020/12/21,NY
34,46.0,2020/12/21,OH
35,48.8,2020/12/21,OK
36,45.6,2020/12/21,OR
37,39.7,2020/12/21,PA
38,35.8,2020/12/21,RI
39,40.2,2020/12/21,SC
40,31.8,2020/12/21,SD
41,41.0,2020/12/21,TN
42,43.2,2020/12/21,TX
43,40.6,2020/12/21,UT
44,40.4,2020/12/21,VA
45,41.1,2020/12/21,VT
46,42.4,2020/12/21,WA
47,40.0,2020/12/21,WI
48,48.1,2020/12/21,WV
49,39.0,2020/12/21,WY
50,41.5,2021/01/18,AK
51,42.0,2021/01/18,AL
52,41.1,2021/01/18,AR
53,38.4,2021/01/18,AZ
54,45.4,2021/01/18,CA
55,41.7,2021/01/18,CO
56,39.5,2021/01/18,CT
57,40.8,2021/01/18,DE
58,38.0,2021/01/18,FL
59,43.3,2021/01/18,GA
60,38.1,2021/01/18,HI
61,36.3,2021/01/18,IA
62,38.8,2021/01/18,ID
63,40.9,2021/01/18,IL
64,38.7,2021/01/18,IN
65,38.7,2021/01/18,KS
66,40.4,2021/01/18,KY
67,43.5,2021/01/18,LA
68,38.4,2021/01/18,MA
69,38.8,2021/01/18,MD
70,40.6,2021/01/18,ME
71,42.9,2021/01/18,MI
72,33.6,2021/01/18,MN
73,43.7,2021/01/18,MO
74,52.3,2021/01/18,MS
75,35.7,2021/01/18,MT
76,44.3,2021/01/18,NC
77,35.6,2021/01/18,ND
