State,called
California,D
New York,D
Massachusetts,D
Illinois,D
Maryland,D
Washington,D
New Jersey,D
Virginia,D
Colorado,D
Oregon,D
Connecticut,D
District of Columbia,D
Minnesota,D
Hawaii,D
Michigan,D
Vermont,D
Rhode Island,D
Maine 1st District,D
New Mexico,D
Delaware,D
Pennsylvania,D
Maine,D
New Hampshire,D
Nevada,D
Nebraska 2nd District,D
Wisconsin,D
Georgia,D
Arizona,D
Maine 2nd District,R
Alaska,R
Nebraska 1st District,R
North Carolina,R
Montana,R
South Dakota,R
Wyoming,R
North Dakota,R
Iowa,R
Nebraska 3rd District,R
Nebraska,R
Kansas,R
Mississippi,R
Idaho,R
South Carolina,R
Utah,R
West Virginia,R
Arkansas,R
Florida,R
Louisiana,R
Missouri,R
Ohio,R
Indiana,R
Oklahoma,R
Kentucky,R
Alabama,R
Texas,R
Tennessee,R
